Vin|NumeroInventario|CostoCompra|CostoActual|Anio|Marca|Modelo|Version|Color|Interior|Estado|TipoCompra|FechaCompra|Placas|NuevoUsado|Ubicacion|Nada
3KPFE4AD8RE002961|12082|353173.09|354289.77|2024|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|WAVY BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|03/11/23||DEMO|APOCADA|
3KPFE4AD3RE035964|13824|358124.07|358174.07|2024|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|15/04/24||DEMO|APOCADA|
3KPFC4AA8RE048219|14535|301472.65|304532.07|2024|KIA|K3 SEDAN|K3 1.6L EX AT SEDAN|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|05/06/24||DEMO|APOCADA|
3KPFU4AE7SE002516|15687|362051.56|362051.56|2025|KIA|K4 SD|K4 2.0 NU EX IVT|STEEL GREY|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|29/08/24||DEMO|APOCADA|
3KPFU4AE0SE002082|16436|362051.56|362051.56|2025|KIA|K4 SD|K4 2.0 NU EX IVT|INTERSTELLART GRAY|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|01/11/24||DEMO|APOCADA|
KNDC4DUC6R5205688|15069|945739.33|945739.33|2024|KIA|EV6|EV6 Electric GT-line|AURORA BLACK PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|26/07/24||DEMO|APOCADA|
LJD3BA1D7R0021289|16025|290312.78|290362.78|2024|KIA|SONET|Sonet 1.5L LX MT|VIVID RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|30/09/24||DEMO|APOCADA|
LJD5AA193R0151822|16374|432364.41|432539.41|2024|KIA|SELTOS|SELTOS 1.4L TURBO SXL DCT|SPARKLING SILVER + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|31/10/24||DEMO|APOCADA|
LJD5AA1D6R0133061|13740|405859.71|405929.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|08/04/24||DEMO|APOCADA|
LJD5AA1D8R0148113|15584|405859.71|405929.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|01/09/24||DEMO|APOCADA|
LJD3BA1D5R0030959|17317|347826.20|347896.20|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|15/01/25||NUEVO|APOCADA|
LJD3BA1D5R0031299|17320|347826.20|347876.20|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|15/01/25||NUEVO|APOCADA|
LJD3BA1DXR0032013|17432|347826.20|347896.20|2024|KIA|SONET|Sonet 1.5L SX IVT|VIVID RED/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|23/01/25||NUEVO|APOCADA|
LJD3BA1D3R0032340|17447|347826.20|347896.20|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|27/01/25||NUEVO|APOCADA|
LJD3BA1D6R0034194|17431|310269.41|310319.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|23/01/25||NUEVO|APOCADA|
