Vin|NumeroInventario|CostoCompra|CostoActual|Anio|Marca|Modelo|Version|Color|Interior|Estado|TipoCompra|FechaCompra|Placas|NuevoUsado|Ubicacion|Nada
3KPFC4AA6RE017261|12800|322559.13|322559.13|2024|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|11/01/24||DEMO|MONTERREY|
3KPFC4AA8SE058965|15325|296687.37|296687.37|2025|KIA|K3 SEDAN|K3 1.6L EX T/M SEDAN|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|30/07/24||DEMO|MONTERREY|
3KPFC4AA9SE088797|16813|296687.37|296687.37|2025|KIA|K3 SEDAN|K3 1.6L EX T/M SEDAN|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|05/12/24||DEMO|MONTERREY|
3KPFB4AA1SE088490|17316|255109.78|255109.78|2025|KIA|K4 SD|K4 2.0 NU L IVT|STEEL GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|14/01/25||DEMO|MONTERREY|
3KPA34ACXNE504078|8011|251980.54|251980.54|2022|KIA|NEW RIO|NEW RIO 1.6L LX T/A SEDAN|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|25/07/22||DEMO|MONTERREY|
3KPF34AD0RE777065|13650|338839.33|338839.33|2024|KIA|FORTE SEDAN|NEW FORTE  2.0L EX IVT SEDAN|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|26/03/24||DEMO|MONTERREY|
LJD3BA1D2R0000138|13794|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|VIVID RED + BLACK ROOF|SATURN BLACK|ECECT|INTERCAMBIO|12/04/24||DEMO|MONTERREY|
LJD3BA1DXR0022825|17668|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|10/02/25||DEMO|MONTERREY|
LJD3BA1D1R0022437|16048|290312.78|290312.78|2024|KIA|SONET|Sonet 1.5L LX MT|GRAVITY GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|30/09/24||DEMO|MONTERREY|
LJD3BA1D1R0022325|17667|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|10/02/25||DEMO|MONTERREY|
MZBER2A47PN374524|8062|336274.43|336274.43|2023|KIA|SELTOS|SELTOS 1.6L EX PACK T/A|WHITE PEARL + ORANGE ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|08/08/22||DEMO|MONTERREY|
KNDPV3AD1S7372721|17391|465904.59|465904.59|2025|KIA|NEW SPORTAGE|Sportage 2.0L EX T/A|GRAVITY GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|16/01/25||DEMO|MONTERREY|
LJD3BA1DXR0031461|17179|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|SPARKLING SILVER + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|28/12/24||NUEVO|MONTERREY|
LJD3BA1D9R0030981|17390|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|16/01/25||NUEVO|MONTERREY|
LJD3BA1D2R0034967|17396|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|VIVID RED/ BLACK ROOF|SATURN BLACK|EALFC|INTERCAMBIO|17/01/25||NUEVO|MONTERREY|
LJD3BA1D6R0034759|17441|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|IMPERIAL BLUE|SATURN BLACK|EOMFH|INTERCAMBIO|23/01/25||NUEVO|MONTERREY|
LJD3BA1D6R0032526|17536|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|30/01/25||NUEVO|MONTERREY|
LJD3BA1D3R0032158|17540|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|GRAVITY GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|27/01/25||NUEVO|MONTERREY|
LJD3BA1D7R0034916|17653|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|PEWTER OLIVE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|03/02/25||NUEVO|MONTERREY|
LJD3BA1D7R0035869|17655|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|03/02/25||NUEVO|MONTERREY|
LJD3BA1D2R0026951|16963|290312.78|290312.78|2024|KIA|SONET|Sonet 1.5L LX MT|VIVID RED|SATURN BLACK|ECAS1|INTERCAMBIO|29/11/24||NUEVO|MONTERREY|
LJD3BA1D0R0034059|17660|290312.78|290312.78|2024|KIA|SONET|Sonet 1.5L LX MT|SNOW WHITE PEARL|SATURN BLACK|EABDF|INTERCAMBIO|27/11/24||NUEVO|MONTERREY|
LJD3BA1DXR0027765|16763|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|GRAVITY GRAY|SATURN BLACK|PERAS|INTERCAMBIO|31/12/24||NUEVO|MONTERREY|
LJD3BA1D7R0031496|16953|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|VIVID RED/ BLACK ROOF|SATURN BLACK|EJACO|INTERCAMBIO|18/12/24||NUEVO|MONTERREY|
LJD3BA1D5R0033666|16957|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|IMPERIAL BLUE|SATURN BLACK|EPVCG|INTERCAMBIO|18/12/24||NUEVO|MONTERREY|
LJD3BA1D3R0031012|17026|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|VIVID RED/ BLACK ROOF|SATURN BLACK|EEABL|INTERCAMBIO|18/12/24||NUEVO|MONTERREY|
LJD3BA1D2R0036427|17395|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|VIVID RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|17/01/25||NUEVO|MONTERREY|
LJD3BA1D7R0036665|17420|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|IMPERIAL BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|21/01/25||NUEVO|MONTERREY|
LJD3BA1D3R0034010|17421|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|21/01/25||NUEVO|MONTERREY|
LJD3BA1D3R0036629|17439|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|23/01/25||NUEVO|MONTERREY|
LJD3BA1DXR0035249|17442|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|23/01/25||NUEVO|MONTERREY|
KNDCR3TE0S5249027|17562|562698.06|562698.06|2025|KIA|NIRO|Niro 1.6L EX DCT Hybrid(Steel Grey)|AURORA BLACK|CHARCOAL|DISPONIBLE|INTERCAMBIO|31/01/25||NUEVO|MONTERREY|
KNDCR3TE4S5244669|17563|562698.06|562698.06|2025|KIA|NIRO|Niro 1.6L EX DCT Hybrid(Steel Grey)|SNOW WHITE PEARL|CHARCOAL|ENCRC|INTERCAMBIO|31/01/25||NUEVO|MONTERREY|
LJD5AA1DXR0159372|16896|387724.90|387724.90|2024|KIA|SELTOS|SELTOS 1.5L EX PACK CVT|VIVID RED + BLACK ROOF|SATURN BLACK|PERAS|INTERCAMBIO|15/10/24||NUEVO|MONTERREY|
LJD5AA192R0151195|15649|432364.41|432364.41|2024|KIA|SELTOS|SELTOS 1.4L TURBO SXL DCT|VIVID RED + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|30/08/24||NUEVO|MONTERREY|
LJD5AA196R0147876|17473|432364.41|432364.41|2024|KIA|SELTOS|SELTOS 1.4L TURBO SXL DCT|GRAVITY GREY + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|18/07/24||NUEVO|MONTERREY|
LJD5AA191R0155402|17566|432364.41|432364.41|2024|KIA|SELTOS|SELTOS 1.4L TURBO SXL DCT|SPARKLING SILVER + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|31/01/25||NUEVO|MONTERREY|
LJD5AA1D6R0148112|16916|405859.71|405859.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|26/08/24||NUEVO|MONTERREY|
LJD5AA1D9R0163932|17058|405859.71|405859.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|PEWTER OLIVE|SATURN BLACK|ECECT|INTERCAMBIO|23/12/24||NUEVO|MONTERREY|
LJD5AA1D3R0171850|17134|405859.71|405909.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|PEWTER OLIVE|SATURN BLACK|PINTP|INTERCAMBIO|28/12/24||NUEVO|MONTERREY|
LJD5AA1D5R0159649|17416|405859.71|405859.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|VIVID RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|19/12/24||NUEVO|MONTERREY|
LJD5AA1D1R0164282|17542|405859.71|405859.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|GRAVITY GREY|SATURN BLACK|EFCHG|INTERCAMBIO|27/12/24||NUEVO|MONTERREY|
LJD5AA1D1R0171409|17585|405859.71|405859.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|31/01/25||NUEVO|MONTERREY|
LJD5AA1D8S0180873|17583|358608.45|358608.45|2025|KIA|SELTOS|SELTOS 1.5L EX CVT|SPARKLING SILVER|SATURN BLACK|ICAS1|INTERCAMBIO|28/01/25||NUEVO|MONTERREY|
LJD5AA192S0179603|17544|437856.80|437856.80|2025|KIA|SELTOS|SELTOS 1.4L Turbo DCT SXL|VIVID RED + BLACK ROOF|SATURN BLACK|ICAS1|INTERCAMBIO|27/01/25||NUEVO|MONTERREY|
LJD5AA195S0179370|17545|437856.80|437856.80|2025|KIA|SELTOS|SELTOS 1.4L Turbo DCT SXL|VIVID RED + BLACK ROOF|SATURN BLACK|ICAS1|INTERCAMBIO|27/01/25||NUEVO|MONTERREY|
LJD5AA194S0179392|17546|437856.80|437856.80|2025|KIA|SELTOS|SELTOS 1.4L Turbo DCT SXL|GRAVITY GREY + BLACK ROOF|SATURN BLACK|ICAS1|INTERCAMBIO|27/01/25||NUEVO|MONTERREY|
LJD5AA190S0179597|17547|437856.80|437856.80|2025|KIA|SELTOS|SELTOS 1.4L Turbo DCT SXL|WHITE PEARL + BLACK ROOF|ALPINE GRAY|ICAS1|INTERCAMBIO|27/01/25||NUEVO|MONTERREY|
KNDPV3AF0S7385445|17679|546549.48|546549.48|2025|KIA|NEW SPORTAGE|Sportage 2.5L SXL T/A|SNOW WHITE PEARL|SATURN BLACK|EFEAT|INTERCAMBIO|11/02/25||NUEVO|MONTERREY|
5XYRH4JC7SG351002|17311|589150.11|589150.11|2025|KIA|SORENTO|New Sorento 2.5L EX A/T - 7P|PANTERA METAL GLOSS|SATURN BLACK|DISPONIBLE|INTERCAMBIO|14/01/25||NUEVO|MONTERREY|
5XYRH4JC4SG350745|17351|630647.31|630647.31|2025|KIA|SORENTO|New Sorento 2.5L EX PACK A/T - 7P|PANTERA METAL GLOSS|SATURN BLACK|DISPONIBLE|INTERCAMBIO|14/01/25||NUEVO|MONTERREY|
5XYRK4JF3SG342082|17531|695486.68|695486.68|2025|KIA|SORENTO|New Sorento 2.5L Turbo SXL DCT - 6P|PANTERA METAL GLOSS|SATURN BLACK|DISPONIBLE|INTERCAMBIO|30/01/25||NUEVO|MONTERREY|
3KPFE4AD6SE083156|16862|364629.60|364629.60|2025|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|AURORA BLACK PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|06/12/24||NUEVO|MONTERREY|
3KPFE4AD4SE082989|16864|364629.60|364629.60|2025|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|06/12/24||NUEVO|MONTERREY|
3KPFE4AD8SE091968|17182|364629.60|364629.60|2025|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|STEEL GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|28/12/24||NUEVO|MONTERREY|
3KPFE4AD0SE091642|17195|364629.60|364629.60|2025|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|AURORA BLACK|SATURN BLACK|DISPONIBLE|INTERCAMBIO|28/12/24||NUEVO|MONTERREY|
3KPFC4AA7SE084022|16703|332484.94|332484.94|2025|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|19/11/24||NUEVO|MONTERREY|
3KPFC4AA9SE084037|17083|332484.94|332484.94|2025|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|23/12/24||NUEVO|MONTERREY|
3KPFC4AA9SE091862|17184|332484.94|332484.94|2025|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|28/12/24||NUEVO|MONTERREY|
3KPFC4AA1SE096294|17638|332484.94|332484.94|2025|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|07/02/25||NUEVO|MONTERREY|
3KPFB4AA1SE096945|17681|274721.85|274721.85|2025|KIA|K3 SEDAN|K3 1.6L LX M/T Sedan|STEEL GREY|SATURN BLACK|EJMCM|INTERCAMBIO|30/01/25||NUEVO|MONTERREY|
3KPFB4AA6SE065450|15656|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|31/08/24||NUEVO|MONTERREY|
3KPFB4AA0SE077352|16225|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|15/10/24||NUEVO|MONTERREY|
3KPFB4AA3SE077183|16226|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|15/10/24||NUEVO|MONTERREY|
3KPFB4AA9SE080279|16840|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|AZURE BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|06/12/24||NUEVO|MONTERREY|
3KPFB4AA0SE082826|16901|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|09/12/24||NUEVO|MONTERREY|
3KPFB4AA8SE089300|17019|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|AZURE BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|17/12/24||NUEVO|MONTERREY|
3KPFB4AA7SE089420|17020|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|17/12/24||NUEVO|MONTERREY|
