Vin|NumeroInventario|CostoCompra|CostoActual|Anio|Marca|Modelo|Version|Color|Interior|Estado|TipoCompra|FechaCompra|Placas|NuevoUsado|Ubicacion|Nada
3KPFE4AD5RE035870|13889|358124.07|358124.07|2024|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|18/04/24||DEMO|SAN NICOLAS|
3KPFC4AA2RE050774|14862|327127.43|327127.43|2024|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|29/06/24||DEMO|SAN NICOLAS|
3KPFC4AA7RE037423|14076|292451.10|292451.10|2024|KIA|K3 SEDAN|K3 1.6L EX T/M SEDAN|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|03/05/24||DEMO|SAN NICOLAS|
3KPFC4AA9RE050500|14707|301472.65|301472.65|2024|KIA|K3 SEDAN|K3 1.6L EX AT SEDAN|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|18/06/24||DEMO|SAN NICOLAS|
3KPFU4AE2SE002083|15694|362051.56|362051.56|2025|KIA|K4 SD|K4 2.0 NU EX IVT|INTERSTELLART GRAY|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|27/08/24||DEMO|SAN NICOLAS|
3KPFC5AA4SE066762|16449|332486.54|332486.54|2025|KIA|K3 HB|K3 1.6L EX PACK A/T HB|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|08/11/24||DEMO|SAN NICOLAS|
LJD3BA1D9R0022816|17632|347826.20|347826.20|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|06/02/25||DEMO|SAN NICOLAS|
LJD3BA1D1R0022440|17675|290312.78|290312.78|2024|KIA|SONET|Sonet 1.5L LX MT|GRAVITY GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|11/02/25||DEMO|SAN NICOLAS|
LJD3BA1D5R0022327|17633|310269.41|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|06/02/25||DEMO|SAN NICOLAS|
MZBER2A44PN354151|7928|336274.43|336274.43|2023|KIA|SELTOS|SELTOS 1.6L EX PACK T/A|WHITE PEARL + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|18/07/22||DEMO|SAN NICOLAS|
